_id,service_name,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,phone,narrative,schedule,holiday_exception
190,"Humane Animal Rescue - \Ellie's Pet Pantry\"" East End""","Huimane Animal Rescue - \Ellie's Pet Pantry\"" East End""",Homewood,"6926 Hamilton Avenue, PA, 15208",40.455806,-79.90386590000003,Humane Animal Rescue - Ellie's Pet Pantry,pantries-supplies,all pets in need,1st time users must fill out an application and show Photo ID. Must call ahead.,412-345-7300 x216,Pet Food distributed once a month at East End and Northside locations.  Call 412-345-7300 x216 at the beginning of each month to reserve pet food and to find out the date for pickup.,call for time/date of distribution,
191,"Humane Animal Rescue - \Ellie's Pet Pantry\"" Northside""","Humane Animal Rescue - \Ellie's Pet Pantry\"" Northside""",Northside,"1101 Western Avenue, PA, 15233",40.45109060000001,-80.0197622,Humane Animal Rescue - Ellie's Pet Pantry,pantries-supplies,all pets in need,1st time users must fill out an application and show Photo ID. Must call ahead.,412-345-7300 x216,Pet Food distributed once a month at East End and Northside locations.  Call 412-345-7300 x216 at the beginning of each month to reserve pet food and to find out the date for pickup.,call for time/date of distribution,
192,Brashear Association Food Pantry - Tues/Thurs,Brashear Association,South Side,"2005 Sarah Street, PA, 15203",40.427792,-79.977613,Brashear Association,pantries-supplies,All in need,"Emergency food is available one time during regular food pantry hours.\n\nFor regular pantry service, you must be below 200% of Federal Poverty Guidelines, and show proof of address, income, and family size. Service area is Arlington, Arlington Heights, Bon Air, Carrick, Knoxville, Mt. Oliver, South Side Flats and South Side Slopes.",412-431-2236,,Tues & Thurs: 3pm - 4:30pm,
193,Foundation of Hope / Post Incarceration Support,Foundation of Hope/Post Incarceration Services,North Side,"112 West North Avenue, PA, 15212",40.455494,-80.008247,Foundation of Hope,pantries-supplies|finances,Any person previously incarcerated,Must have been incarcerated in the past.,412-321-3343,"Clothing closet, ID replacement, specialty job clothing, Life skills, mentoring program.",Call for intake appointment,
194,"Post-incarceration resources for education, jobs, referrals",Foundation of Hope/Post Incarceration Services,North Side,"112 West North Avenue, PA, 15212",40.455494,-80.008247,Foundation of Hope,expert-lookup,Anyone who has been incarcerated.,Must be post-incarcerated.,412-321-3343,"Counseling, mentorship, community resource and referral, job training and referrals.  Reference preparation.  Housing referrals.  Clothing closet available.",Must call to schedule intake appointment,
195,First Trinity Evangelical Lutheran Church Clothes Closet,Church Clothes Closet,Oakland,"531 North Neville Street, PA, 15213",40.449694,-79.948252,First Trinity Evangelical Lutheran Church,pantries-supplies,All in need,None,412-683-4121,"First Saturday of the Month; 1pm - 3pm ; Mostly clothing, some shoes",First Saturday of each month; 1pm - 3pm; Not open on holidays,
196,St. Mary's Food Pantry,St. Mary's Food Pantry,South Side,"105 South 19th Steret, PA, 15203",40.428114,-79.97911,St. Mary's Russian Orthodox Church,pantries-supplies,All in need,None - but call ahead for emergency food,(412) 431-6428,"Packaged and canned food.  Also have dish soap, laundry soap and toilet paper. ; Families get pudding or fruit and milk and/or juice at the pantry, in addition to the usual.",Third Thursday of each month; 5:45pm - 6:45pm ; Call for emergency patry; Closed on the Orthodox Holy Week (Russian) and the week that follows. Closed on the Thursday of Thanksgiving. and Christmas through New Years.,
197,Allegheny Link line for Emergency Overnight Shelter,Allegheny Link Line,Downtown,,,,Allegheny County Department of Human Services,roof-overnight,"for those who are experiencing or at risk of homelessness, those with a disability, or those over the age of 60 (with or without a disability)","For shelter, you will be asked to provide social security number (not required), name, gender and age.",1-866-730-2368,"For adult singles, the Link line will provide information on nearby shelters.  You will then need to reach out directly to a Shelter to get information about bed vacancies.   The Link line will not be reserving spaces or maintaining waiting lists for single shelters (including youth and veterans).  For families, the Link will continue to coordinate assignment to shelters.  The Link line can also offer referrals to a wide range of programs and services for those in distress (and help with completion of any needed paperwork).   When the Link line is closed, you will get a recorded message with options for those in particular need.",Mon - Fri:  8am - 7pm,
198,Veteran X Program,Veteran X Program,Aspinwall,"1010 Delafield Road, PA, 15215",40.496211,-79.887066,Veteran X - VA Recovery Center,expert-lookup|activities,Veterans,Veteran - Veteran ID required.  Call before attending.,412-822-3896,"Interactive support group that works together to solve simulated, everyday problems experienced by fictitious Veteran X.  Discuss training, education, employment, behavioral health issues with a trained VA facilitator.",Mon 6:00pm - 8:00pm,Closed during date: 2017/12/25; Closed during date: 2018/01/01; 
199,Emergency Shelter for Homeless Young Adults,Family Links Shelter,Uptown,,,,Family Links,roof-overnight,,Just to discuss your situation.,1-866-583-6003,"For youth ages 18 - 24 who are homeless or transient (or at risk of not being able to find a safe place to stay), Familylinks Shelter can provide emergency shelter, food and clothing for 60 days while they work with you to plan next steps.  (Even after 60 days, they will make sure you have a place to stay.)   Medical care and counseling can also be provided as needed.",,
200,Emergency Shelter for Women with Children,Women's Center and Shelter of Greater Pittsburgh,Unknown,,,,Women's Center and Shelter of Pittsburgh,roof-overnight,,"to be admitted, you need to call to discuss your situation with an advocate.",412-687-8005,"For women with children (including boys 17 and under) who fear domestic violence and have no place else to go.  Shelter services include meeting basic needs like clothing, toiletries and meals.  Advocates provide safety planning, emotional support, crisis intervention and goal planning.  Average length of stay is 30 days, with some stays as long as 45 days.",,
201,Food Pantry - Grace United Church of Christ,Food Pantry - Grace United Church of Christ,Duquesne,"100 South 7th Street, PA, 15110",40.370516,-79.851898,Grace United Church of Christ,meals-foodpantries,All in need,"Call first - either Rev. Condron or Marsha Miller, Food Bank Director",412-466-1635,"No more than once/month.  Regular pantry requires proof of income. Prepacked bags, not self-service.",Mon and Fri; 9am - noon ; Emergency by appointment,
202,St. James Church Food Pantry,St. James Church Food Pantry,WIlkinsburg,"718 Franklin Avenue, PA, 15218",40.44033,-79.885147,St. James Roman Catholic Church,meals-foodpantries,Wilkinsburg area residents,"Must register by phone or in person, Mon, Tue, Fri between 10am - 2pm",412-241-1309,"Open every 3rd Saturday 9 - 11am. Canned goods, some meats, toiletries, paper products, occasional baked goods. Self-serve.",3rd Saturday of the month.,
203,Mary's Child Baby Supplies,Mary's Child Program,Wilkinsburg,"718 Franklin Avenue, PA, 15218",40.44033,-79.885147,St. James Roman Catholic Church,miscl-supplies,"Parents, caregivers, and moms-to-be of children birth to age 5, in the Wilkinsburg area.","Must register by phone or in person, Mon, Tue, Fri between 10am - 2pm.",412-241-1309,"clothing, baby food, diapers, baby wipes, toiletries, toys, books and educational materials, gently used baby supplies. Full layettes for pregnant moms.","Third Saturdays of the month, 9am - 11am.",
204,Second United Presbyterian Church Wilkinsburg Food Pantry,Wilkinsburg Food Pantry,Wilkinsburg,"300 Hay Street, PA, 15221",40.438657,-79.88841,Second United Presbyterian Church (2nd),meals-foodpantries,All in need,"None - ask for photo ID at check in, but nobody is turned away.",412-242-4430,"Food Pantry - emergency and regular.  Food is pre-bagged dry and canned items, plus bag of paper products - toilet paper, paper towels, tissues/napkins.  No pet food, no toiletries, sometimes have fresh meat and produce. Bring cart or box for food.",2nd Wednesday of each month; 5:30pm - 7pm,
205,Chapel Market (Clothing Closet),Chapel Market,East Liberty,"116 S. Highland Avenue, PA, 15206",40.460944,-79.926152,East Liberty Presbyterian Church,miscl-supplies,all,none - no documents required\nRegistration on arrival (will ask for zip code and assistance enrollment),412-441-3800,"Clothing for adults, children, infants, shoes, coats and winter gear",Mondays 10am - 12pm Except Holidays; First Thursdays 5:00 pm 7:30pm,Closed during date: 2018/05/28; 
206,Duquesne U.  Free Legal Help Clinic,Duquesne U. - Tribone Bldg Legal Clinic,Uptown,"912-914 Fifth Ave, PA, undefined",40.438876,-79.991234,Duquesne University School of Law - Pro Bono Legal Clinic,finances,All in need of legal help,Free for those with low income (no proof or documentation needed).  Call (24/7) or Walk In.,412-396-4704,"The Duquense University Pro Bono (For Free) Legal Clinic can help with a variety of legal issues such as civil rights, family disputes, unemployment claims and criminal matters (and much more).  Call for an appointment or walk in during Clinic hours.","Mon - Fri, 9am - 4pm",
207,Financial Empowerment Center,FEC-Career Link Downtown,Downtown,,,,Financial Empowerment Center,finances,All in need of help dealing with debt and budget-planning,For People 18 and Over,1-800-298-0237,"Pittsburgh's Financial Empowerment Center (FEC) offers one-on-one, professional financial counseling as a free public service. The FEC helps clients take control of their debt, deal with debt collectors, improve their credit, create a budget, increase savings, connect to safe and affordable financial products, and much more!  There are locations available around the City and in McKees Rocks.  Call for an appointment.",Call for an appointment.,
